Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:21:26;30/08/2025 22:21:29;22;LM;-;1;1;-17.0468583,-50.144;Avenida Juscelino Kubitschek de Oliveira -  493 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;64.1;03:37:09;00:00:00;31907.1;64 %;;13.6;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:20:25;30/08/2025 22:20:28;9;LM;-;1;1;-17.0482866,-50.1451616;Rua Manoel M. Borges -  119 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;63.9;03:36:08;00:00:00;31906.84;62 %;;12.2;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:19:26;30/08/2025 22:19:28;0;LP;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Ignição ligada;-;X, X, X, X;0, X, X, X;-;63.8;03:35:09;00:00:00;31906.73;60 %;;11.9;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:19:23;30/08/2025 22:19:25;0;D;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;63.8;03:35:09;00:00:00;31906.73;60 %;;12.5;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:19:14;30/08/2025 22:19:16;0;LP;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;63.8;03:35:00;00:00:00;31906.73;59 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:18:14;30/08/2025 22:18:16;0;LP;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;63.8;03:34:00;00:00:00;31906.73;58 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:17:13;30/08/2025 22:17:15;0;LP;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;63.8;03:32:59;00:00:00;31906.73;55 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:16:13;30/08/2025 22:16:15;0;LP;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;63.8;03:31:59;00:00:00;31906.73;53 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:15:13;30/08/2025 22:15:16;0;LP;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;63.8;03:30:59;00:00:00;31906.73;50 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:14:14;30/08/2025 22:14:16;0;LP;-;1;1;-17.048525,-50.1460099;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;63.8;03:30:00;00:00:00;31906.73;47 %;;14.4;0
