Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 21:45:20;27/08/2025 21:45:22;0;D;-;0;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;85 %;;3.8;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 20:56:46;27/08/2025 20:56:48;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;90 %;;3.8;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 19:56:46;27/08/2025 19:56:50;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;96 %;;3.9;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 19:26:20;27/08/2025 19:26:23;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Cabo da Bateria Restaurado;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;99 %;;3.9;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 19:26:04;27/08/2025 19:26:06;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;100 %;;4.7;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:56:46;27/08/2025 18:56:48;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;100 %;;12.7;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:56:02;27/08/2025 18:56:04;0;D;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;240.31;08:59:20;49:51:27;248.89;100 %;;12.7;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:55:46;27/08/2025 18:55:49;0;LP;-;1;1;-17.061811,-50.175108;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.31;08:59:04;49:51:11;248.89;100 %;;14.0;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:54:46;27/08/2025 18:54:48;10;LM;-;1;1;-17.062009,-50.175248;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.28;08:58:04;49:50:11;248.86;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:53:47;27/08/2025 18:53:48;0;LP;-;1;1;-17.062013,-50.175912;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.21;08:57:05;49:49:11;248.79;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:52:47;27/08/2025 18:52:49;0;LP;-;1;1;-17.062004,-50.176028;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.2;08:56:05;49:48:11;248.77;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:51:47;27/08/2025 18:51:49;20;LM;-;1;1;-17.062025,-50.176858;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.11;08:55:05;49:47:11;248.67;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:51:45;27/08/2025 18:51:47;18;LM;-;1;1;-17.062001,-50.176953;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.1;08:55:03;49:47:09;248.66;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:50:44;27/08/2025 18:50:56;0;LP;-;1;1;-17.058883,-50.176696;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;239.75;08:54:02;49:46:09;248.32;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:49:44;27/08/2025 18:49:46;0;LP;-;1;1;-17.058778,-50.176704;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;239.74;08:53:02;49:45:09;248.31;100 %;;14.0;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:48:44;27/08/2025 18:48:46;11;LM;-;1;1;-17.056212,-50.176439;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;239.45;08:52:02;49:44:09;248.02;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;27/08/2025 18:47:44;27/08/2025 18:47:46;0;LP;-;1;1;-17.056032,-50.176397;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;239.43;08:51:02;49:43:09;248.01;100 %;;14.0;0
